Algo,Mean Fitness,Std Fitness,Mean Time (s),Std Time,Mean Space (bytes),Mean Conv Speed (iters),Mean Solution Quality (norm),Success Rate (%)
FA,7.314480273685721e-07,1.1100529470432095e-07,13.403789186477661,0.17375883054681912,24000.0,221.0,0.0008525964406749194,100.0
ABC,4.8994095302246576e-05,4.133747340079556e-05,0.5245207786560059,0.007057115809914722,24000.0,253.6,0.0064465138322950324,0.0
Cuckoo,1.5631347275393437,0.22810241300346726,0.1517016887664795,0.003976648830631831,240.0,300.0,1.2468698211845843,0.0
PSO,4.982304571100733e-08,4.775632287042065e-08,0.06779932975769043,0.0016977209828136644,240.0,1.0,0.00020019121154884464,100.0
HC,7.1251626270149,0.8539316282514245,0.03599228858947754,0.003363457882649251,240.0,300.0,2.66485941850107,0.0
GA,0.41898424040217136,0.12019792699323244,0.06684713363647461,0.0048875781650070515,240.0,300.0,0.6406556333528283,0.0
SA,8.563490023342853,3.773910319574775,0.14374217987060547,0.0031262563162610182,240.0,300.0,2.8670217937812033,0.0
