Algo,DIM,POP,Fitness,Time (s),Space (bytes)
FA,10,50,1.9769068612931573e-05,5.203402757644653,4000
ABC,10,50,4.188222857518801e-09,0.3632538318634033,4000
Cuckoo,10,50,0.2256351107383571,0.0458979606628418,80
PSO,10,50,1.3434903384408983e-12,0.0638420581817627,80
HC,10,50,0.7938372711405729,0.10796666145324707,80
GA,10,50,0.0037078822358093447,0.5085563659667969,80
SA,10,50,1.5465863356733187,0.23381423950195312,80
FA,10,100,2.291225505945257e-05,20.968833684921265,8000
ABC,10,100,5.482082963136266e-11,0.809502363204956,8000
Cuckoo,10,100,0.1819840347969881,0.03531336784362793,80
PSO,10,100,3.30295892992955e-14,0.061878204345703125,80
HC,10,100,0.7938372711405729,0.07193422317504883,80
GA,10,100,0.0006616480771899963,0.6664977073669434,80
SA,10,100,1.5465863356733187,0.18869233131408691,80
FA,10,200,1.613074110042093e-05,84.16583776473999,16000
ABC,10,200,2.8754753184985085e-10,2.080756425857544,16000
Cuckoo,10,200,0.06940336101578976,0.09594511985778809,80
PSO,10,200,8.451033962960356e-15,0.15478062629699707,80
HC,10,200,0.7938372711405729,0.08038759231567383,80
GA,10,200,9.676175736788055e-05,1.0889251232147217,80
SA,10,200,1.5465863356733187,0.21355605125427246,80
FA,30,50,0.00033951061584220607,5.76817512512207,12000
ABC,30,50,0.0002748739455661857,0.3966500759124756,12000
Cuckoo,30,50,58.917774873761516,0.025633811950683594,240
PSO,30,50,0.00021180695848327196,0.04248166084289551,240
HC,30,50,6.951017560569533,0.09996533393859863,240
GA,30,50,1.1040980335376485,0.5404820442199707,240
SA,30,50,15.615737547857627,0.18195557594299316,240
FA,30,100,0.00031451403504857424,19.291799306869507,24000
ABC,30,100,0.00015488778697094542,0.6648342609405518,24000
Cuckoo,30,100,34.33424688952497,0.04055666923522949,240
PSO,30,100,8.810185317254988e-05,0.08459210395812988,240
HC,30,100,6.951017560569533,0.11629509925842285,240
GA,30,100,0.1858245596370691,0.7667241096496582,240
SA,30,100,15.615737547857627,0.1894218921661377,240
FA,30,200,0.0002607704812364243,109.39483308792114,48000
ABC,30,200,8.85584374267103e-05,1.5988678932189941,48000
Cuckoo,30,200,38.45616185860834,0.07198357582092285,240
PSO,30,200,1.4743065708578457e-06,0.1610729694366455,240
HC,30,200,6.951017560569533,0.1296699047088623,240
GA,30,200,0.09715922140413262,1.2390038967132568,240
SA,30,200,15.615737547857627,0.19299650192260742,240
FA,100,50,631.1794073882593,5.173662185668945,40000
ABC,100,50,150.65855429332328,0.5208678245544434,40000
Cuckoo,100,50,445.0686590980249,0.026769399642944336,800
PSO,100,50,79.23640236196083,0.04261302947998047,800
HC,100,50,97.1886869257735,0.2885775566101074,800
GA,100,50,61.66185749551592,0.9463694095611572,800
SA,100,50,105.9490120292762,0.1877124309539795,800
FA,100,100,609.3918823508495,21.03041124343872,80000
ABC,100,100,119.60691065860459,0.6770586967468262,80000
Cuckoo,100,100,362.7493764239984,0.05165243148803711,800
PSO,100,100,62.197083389771414,0.0843658447265625,800
HC,100,100,97.1886869257735,0.2759675979614258,800
GA,100,100,27.203880733276442,1.4608290195465088,800
SA,100,100,105.9490120292762,0.24345636367797852,800
FA,100,200,595.5032325667194,78.23878955841064,160000
ABC,100,200,143.54789483784518,1.5296733379364014,160000
Cuckoo,100,200,326.91859013465745,0.1296827793121338,800
PSO,100,200,54.81851669001182,0.283031702041626,800
HC,100,200,97.1886869257735,0.46221446990966797,800
GA,100,200,7.309128723058206,4.228014707565308,800
SA,100,200,105.9490120292762,0.7316339015960693,800
