Test Case,Algorithm,Mean Value,Mean Weight,Solution,Mean Time (s),Mean Space (bytes)
test_case_1,ABC,131.0,50.0,11000100101011011100,0.3006162643432617,432.0
test_case_1,FA,131.0,50.0,11000100101011011100,1.180737018585205,432.0
test_case_1,Cuckoo,131.0,50.0,11000100101011011100,0.46509480476379395,432.0
test_case_1,PSO,105.0,46.0,11000000001001011010,0.3692901134490967,432.0
test_case_1,ACO,131.0,50.0,11000100101011011100,1.4082145690917969,432.0
test_case_1,HC,101.0,50.0,00000001000010000011,0.12813377380371094,432.0
test_case_1,SA,110.0,50.0,00000001100011000001,0.002986907958984375,432.0
test_case_1,GA,131.0,50.0,11000100101011011100,0.28801417350769043,272.0
test_case_2,ABC,220.0,50.0,011,0.21692323684692383,160.0
test_case_2,FA,220.0,50.0,011,0.07983899116516113,160.0
test_case_2,Cuckoo,220.0,50.0,011,0.16930627822875977,160.0
test_case_2,PSO,220.0,50.0,011,0.07236909866333008,160.0
test_case_2,ACO,220.0,50.0,011,0.3440530300140381,160.0
test_case_2,HC,220.0,50.0,011,0.08350396156311035,160.0
test_case_2,SA,220.0,50.0,011,0.0020842552185058594,160.0
test_case_2,GA,220.0,50.0,011,0.5046632289886475,136.0
test_case_3,ABC,94.0,30.0,0010011001,0.2649881839752197,272.0
test_case_3,FA,94.0,30.0,0010011001,0.12987899780273438,272.0
test_case_3,Cuckoo,94.0,30.0,0010011001,0.1939988136291504,272.0
test_case_3,PSO,76.0,25.0,1000101100,0.1340961456298828,272.0
test_case_3,ACO,94.0,30.0,0010011001,0.7602760791778564,272.0
test_case_3,HC,93.0,30.0,0000000111,0.1130211353302002,272.0
test_case_3,SA,93.0,30.0,0000000111,0.0025789737701416016,272.0
test_case_3,GA,94.0,30.0,0010011001,0.24432778358459473,192.0
test_case_4,ABC,201.0,80.0,1111011100001011100010100,0.3538932800292969,512.0
test_case_4,FA,201.0,80.0,0110010100001011100011111,0.995628833770752,512.0
test_case_4,Cuckoo,201.0,80.0,1110001100001011100010111,0.34824490547180176,512.0
test_case_4,PSO,187.0,77.0,1100100000100001000110101,0.4146890640258789,512.0
test_case_4,ACO,201.0,80.0,0110010100001011100011111,1.6232447624206543,512.0
test_case_4,HC,186.0,79.0,0000100011100000011100000,0.11659884452819824,512.0
test_case_4,SA,193.0,80.0,1100100101010001101100000,0.002766847610473633,512.0
test_case_4,GA,201.0,80.0,0110011000001101100011101,0.2515602111816406,312.0
