Algo,DIM,POP,Fitness,Time (s),Space (bytes)
FA,10,50,3.864786346825427e-08,3.8026769161224365,4000
ABC,10,50,3.8327411584273936e-14,0.2901301383972168,4000
Cuckoo,10,50,0.0001496225605677196,0.07122468948364258,80
PSO,10,50,1.7855050883273012e-18,0.0324702262878418,80
HC,10,50,0.7938372711405733,0.02203226089477539,80
GA,10,50,0.004350461606704547,0.04085898399353027,80
SA,10,50,1.0142525434778302,0.16194891929626465,80
FA,10,100,3.311140670679111e-08,15.080319881439209,8000
ABC,10,100,1.3326103852611203e-14,0.5806868076324463,8000
Cuckoo,10,100,0.00014321964007947893,0.13429498672485352,80
PSO,10,100,4.677532471852241e-20,0.062068939208984375,80
HC,10,100,0.7938372711405733,0.022515058517456055,80
GA,10,100,0.0032032535858986426,0.07078313827514648,80
SA,10,100,1.0142525434778302,0.16164112091064453,80
FA,10,200,2.2228504475888366e-08,60.25640034675598,16000
ABC,10,200,3.186135141240253e-14,1.1491870880126953,16000
Cuckoo,10,200,0.0002955067871196988,0.2591440677642822,80
PSO,10,200,4.372901399882526e-22,0.12050819396972656,80
HC,10,200,0.7938372711405733,0.02291584014892578,80
GA,10,200,0.0007733417816801668,0.13084006309509277,80
SA,10,200,1.0142525434778302,0.16089916229248047,80
FA,30,50,7.551371217982144e-07,3.6930348873138428,12000
ABC,30,50,1.7294476995921163e-05,0.2908518314361572,12000
Cuckoo,30,50,0.4296428374296589,0.09004092216491699,240
PSO,30,50,2.9496544063113192e-06,0.03570890426635742,240
HC,30,50,6.951017560569533,0.03315401077270508,240
GA,30,50,0.4970423310797172,0.04466700553894043,240
SA,30,50,7.645287743028776,0.16600990295410156,240
FA,30,100,7.901188595581261e-07,14.987085819244385,24000
ABC,30,100,9.65610638030588e-06,0.5780777931213379,24000
Cuckoo,30,100,1.7858681282512496,0.1717839241027832,240
PSO,30,100,2.6057158779058666e-08,0.06874394416809082,240
HC,30,100,6.951017560569533,0.03326296806335449,240
GA,30,100,0.3602005747361769,0.07848501205444336,240
SA,30,100,7.645287743028776,0.1646137237548828,240
FA,30,200,4.6844983522943155e-07,59.60642600059509,48000
ABC,30,200,8.780852999191787e-06,1.158595085144043,48000
Cuckoo,30,200,2.168348492516846,0.33722496032714844,240
PSO,30,200,1.4833240988584962e-10,0.13855409622192383,240
HC,30,200,6.951017560569533,0.034570932388305664,240
GA,30,200,0.2276633009040846,0.14962387084960938,240
SA,30,200,7.645287743028776,0.163377046585083,240
FA,100,50,631.1794073882593,4.164819955825806,40000
ABC,100,50,64.97947042393511,0.2934598922729492,40000
Cuckoo,100,50,27.45933673462496,0.1588900089263916,800
PSO,100,50,46.31074843273142,0.04762387275695801,800
HC,100,50,97.1886869257735,0.07597112655639648,800
GA,100,50,75.40479180275764,0.05737185478210449,800
SA,100,50,69.34157779483647,0.1754159927368164,800
FA,100,100,609.3918823508495,16.865451097488403,80000
ABC,100,100,29.043303361053816,0.5802469253540039,80000
Cuckoo,100,100,49.56927832808162,0.30883312225341797,800
PSO,100,100,8.397990999851269,0.0928049087524414,800
HC,100,100,97.1886869257735,0.07750082015991211,800
GA,100,100,84.04799103062062,0.10514092445373535,800
SA,100,100,69.34157779483647,0.17462396621704102,800
FA,100,200,595.5032325667194,67.80148100852966,160000
ABC,100,200,49.975585933728304,1.1714229583740234,160000
Cuckoo,100,200,55.94960141133738,0.6142117977142334,800
PSO,100,200,2.0159636294746606,0.18321681022644043,800
HC,100,200,97.1886869257735,0.07997584342956543,800
GA,100,200,67.58321910771667,0.19921374320983887,800
SA,100,200,69.34157779483647,0.17476606369018555,800
