algorithm_name,parameter_name,parameter_value,avg_fitness,std_fitness
PSO,w,0.1,39.22910360536509,7.161659869802098
PSO,w,0.2,26.449835533671557,7.601663829672029
PSO,w,0.3,16.626821308354476,6.156205741827072
PSO,w,0.4,7.705844354086563,3.819002058787055
PSO,w,0.5,1.2041245264390914,0.8424784055046147
PSO,w,0.6,0.030539186611169604,0.09033511453430589
PSO,w,0.7,1.1513726711795545e-07,8.664221828483917e-08
PSO,w,0.8,2.6554041282818153,7.855545490946876
PSO,w,0.9,42.775826938864974,12.132021418235198
PSO,c1,0.5,0.04657411925926496,0.11080912258094376
PSO,c1,0.7,7.8659991347670255,12.012456648364305
PSO,c1,0.9,0.004117053456007972,0.01085251045529982
PSO,c1,1.1,3.563314556623175e-05,8.875017183092482e-05
PSO,c1,1.3,8.997381050818261e-06,2.4174871605296743e-05
PSO,c1,1.5,1.0419760309848309e-07,9.842242921046618e-08
PSO,c1,1.7,2.0437146984029943e-06,1.2078371529035696e-06
PSO,c1,1.9,0.00022905132269118912,0.00017769928708085225
PSO,c1,2.1,0.019511864074395844,0.014650174541148394
PSO,c1,2.3,0.9888255171087895,0.7480525879915271
PSO,c2,0.5,1.730421462940258,0.5956917531867775
PSO,c2,0.7,0.4604051852932627,0.25021525966701497
PSO,c2,0.9,0.06200566327070471,0.043718846311227896
PSO,c2,1.1,0.004584881902198108,0.00897728866994193
PSO,c2,1.3,1.5898859943880742e-05,4.470334186568195e-05
PSO,c2,1.5,1.4575122337722364e-07,1.9159175184716292e-07
PSO,c2,1.7,2.6214563190156985,7.864338530324943
PSO,c2,1.9,10.489060716202454,17.38746104780666
PSO,c2,2.1,7.970572562701906,11.9990509057723
PSO,c2,2.3,5.527008011106027,7.820318219777578
FA,alpha,0.2,6.109836105556018e-09,9.133679547009793e-10
FA,alpha,0.3,1.4090585999654532e-08,1.9016005399089436e-09
FA,alpha,0.4,2.432612968083345e-08,3.3063111919750414e-09
FA,alpha,0.5,3.958390370938868e-08,4.461128865163009e-09
FA,alpha,0.6,5.608026387241483e-08,7.839504728536e-09
FA,alpha,0.7,7.924823462328486e-08,1.1179287439994101e-08
FA,alpha,0.8,1.051922562761466e-07,1.6502396697268878e-08
FA,alpha,0.9,1.354604730037525e-07,1.2806539887236875e-08
FA,beta,0.1,7.320091536124845e-08,1.0099727911760168e-08
FA,beta,0.2,4.00060646300792e-08,4.8045615526252825e-09
FA,beta,0.3,3.015218599935015e-08,2.2908315158102274e-09
FA,beta,0.4,2.6706249219887507e-08,4.240028568853658e-09
FA,beta,0.5,2.5312642671971875e-08,3.029360502500919e-09
FA,beta,0.6,2.5469015873446223e-08,3.536434545367406e-09
FA,beta,0.7,2.4985487882011614e-08,2.692097238934195e-09
FA,beta,0.8,2.6604618390243037e-08,3.6590734306564105e-09
FA,beta,0.9,3.263494482162856e-08,5.537376916666486e-09
FA,beta,1.0,3.7754107348096004e-08,2.158417698499751e-09
FA,beta,1.1,5.313144647164517e-08,8.52298407862513e-09
FA,beta,1.2,7.438303566972082e-08,1.3199173760228715e-08
FA,beta,1.3,1.2225052045619938e-07,1.840768834361375e-08
FA,beta,1.4,1.8602974288411766e-07,3.217704948806893e-08
FA,gamma,0.01,4.010824173248856e-08,6.483086215867657e-09
FA,gamma,0.02,3.72829567331636e-08,4.205196478308649e-09
FA,gamma,0.03,4.151149324055406e-08,3.7972489801221335e-09
FA,gamma,0.04,42.31875462972532,41.53021422387272
FA,gamma,0.05,119.29286374384078,8.850891728581818
FA,gamma,0.06,119.47992621916903,12.651037903447435
FA,gamma,0.07,123.64677233439849,3.8776775465028863
FA,gamma,0.08,118.7798848197347,9.144219372311587
FA,gamma,0.09,122.37685094599158,5.123341916653427
FA,gamma,0.1,115.11343888302869,8.97320623770564
FA,gamma,0.11,123.98599121533982,9.016599615871153
FA,gamma,0.12,122.88160964934673,4.892384219386315
FA,gamma,0.13,124.55399640838229,7.774783993011533
FA,gamma,0.14,120.68693645979974,10.670567411993657
FA,gamma,0.15,118.91142761746826,8.252080170254157
FA,gamma,0.16,119.05881414100074,6.866671544494744
FA,gamma,0.17,124.33087834305904,6.57596306477062
