Algo,Mean Fitness,Std Fitness,Mean Time (s),Std Time,Mean Space (bytes),Mean Conv Speed (iters),Mean Diversity,Mean Solution Quality (norm),Success Rate (%)
FA,0.00030908242965026233,6.303606166922323e-05,22.235178184509277,5.712169716888788,24000.0,201.0,0.0037312763513456066,0.01748538117226047,0.0
ABC,0.0002295222290721681,0.00014844487003095187,0.7560875415802002,0.07670786980904219,24000.0,196.6,0.6393897526251907,0.014372873054343552,0.0
Cuckoo,39.255267153080204,7.555955062702682,0.044346284866333005,0.01831161491400945,240.0,200.0,0.0,6.237852730538577,0.0
PSO,3.881357837633036e-05,3.5860970104136676e-05,0.10014476776123046,0.025581085102969737,240.0,184.4,0.0,0.005537746128094212,0.0
HC,7.705864054059771,1.445194334164073,0.20332889556884765,0.033364536561830326,240.0,200.0,0.0,2.763952830417035,0.0
GA,0.6748179730171083,0.9281220453723869,0.8708212852478028,0.058215877636827264,240.0,200.0,0.0,0.6815779008640727,0.0
SA,24.85606212155677,1.8416817628671618,0.21621103286743165,0.028035262491341688,240.0,200.0,0.0,4.982184646346729,0.0
