Algo,Mean Fitness,Mean Time (s),Mean Space (bytes)
FA,0.11748850369983627,12.068763256072998,24000.0
ABC,0.01025431338355305,0.4025838375091553,24000.0
Cuckoo,24.445967195657104,0.1858053207397461,240.0
PSO,0.03169436121035881,0.056622982025146484,240.0
HC,5.587317861479765,0.10079598426818848,240.0
GA,37.45716323417042,0.052866220474243164,240.0
SA,91.52310862954438,0.13707304000854492,240.0
ACO,0.16466987418734805,0.8576021194458008,240.0
