Test Case,Algorithm,Mean Value,Mean Weight,Solution,Mean Time (s),Mean Space (bytes)
test_case_5,ABC,38.0,15.0,	10110,0.24966351985931395,192.0
test_case_5,FA,40.7,16.2,	10110,0.10508887767791748,192.0
test_case_5,Cuckoo,38.0,15.0,	10110,0.19341905117034913,192.0
test_case_5,PSO,27.8,11.0,	01000,0.1655946731567383,192.0
test_case_5,ACO,38.0,15.0,	10110,0.5134734392166138,192.0
test_case_5,HC,32.0,14.0,	00011,0.11173360347747803,192.0
test_case_5,SA,38.0,15.0,	10110,0.0025405168533325197,192.0
test_case_5,GA,38.0,15.0,	10110,0.37721097469329834,152.0
test_case_10,ABC,99.0,30.0,	1111110100,0.2795294523239136,272.0
test_case_10,FA,99.0,30.0,	1111110100,0.12501652240753175,272.0
test_case_10,Cuckoo,99.0,30.0,	1111110100,0.18442037105560302,272.0
test_case_10,PSO,91.7,28.4,	0101110100,0.16176373958587648,272.0
test_case_10,ACO,99.0,30.0,	1111110100,1.0407208681106568,272.0
test_case_10,HC,88.9,30.0,	1100101010,0.10635194778442383,272.0
test_case_10,SA,94.9,30.0,	1111001010,0.0022284746170043944,272.0
test_case_10,GA,99.0,30.0,	1111110100,0.21645126342773438,192.0
test_case_20,ABC,147.0,50.0,	00111000010011100011,0.29924561977386477,432.0
test_case_20,FA,146.9,50.0,	00111000110011100001,0.47616188526153563,432.0
test_case_20,Cuckoo,147.0,50.0,	00111000010011100011,0.24991827011108397,432.0
test_case_20,PSO,138.3,47.9,	00111011010100100001,0.20599939823150634,432.0
test_case_20,ACO,146.9,50.0,	00111000110001100110,1.5905439615249635,432.0
test_case_20,HC,145.0,50.0,	10011000110001100011,0.10470976829528808,432.0
test_case_20,SA,143.6,50.0,	01111001000011100101,0.0023789405822753906,432.0
test_case_20,GA,146.5,50.0,	00101001110011100001,0.2171719789505005,272.0
test_case_30,ABC,223.0,80.0,	000000111100000001110000101111,0.32182040214538576,592.0
test_case_30,FA,223.0,80.0,	000000111100001001110000001111,3.159646248817444,592.0
test_case_30,Cuckoo,223.0,80.0,	000000011100001011110000001111,0.3026759147644043,592.0
test_case_30,PSO,210.9,77.2,	100000011101000011100100011111,0.29376003742218015,592.0
test_case_30,ACO,222.4,80.0,	000000111100000011110100011011,2.0025321006774903,592.0
test_case_30,HC,214.0,78.0,	000010011100001000110000100111,0.10620324611663819,592.0
test_case_30,SA,217.0,80.0,	001001111000110001100011101100,0.0025656700134277345,592.0
test_case_30,GA,221.5,80.0,	010000111100000111110000001011,0.24628989696502684,352.0
