Algo,Mean Fitness,Std Fitness,Mean Time (s),Std Time,Mean Space (bytes),Mean Conv Speed (iters),Mean Solution Quality (norm),Success Rate (%)
FA,6.27768772102251e-07,1.0862806682160297e-07,14.95127830505371,0.25166625561872896,24000.0,219.4,0.0007890810365341991,100.0
ABC,1.8848426264633007e-05,1.0875228209219976e-05,0.5799452304840088,0.0015517837555376827,24000.0,217.8,0.0041586041818008745,0.0
Cuckoo,1.9460445561808182,0.25931609356116436,0.17176518440246583,0.0013909955643712957,240.0,300.0,1.3918596639204848,0.0
PSO,3.8494656572495736e-08,3.0899838584059777e-08,0.06916799545288085,0.0002401280439947367,240.0,1.0,0.0001787762603408363,100.0
HC,7.918776051459673,0.7122828346618908,0.039752769470214847,0.0029521178181931623,240.0,300.0,2.8110068536357793,0.0
GA,0.39089252479141273,0.09510949305197519,0.07957987785339356,0.0010577574802365475,240.0,300.0,0.6208817430659185,0.0
SA,8.349027752754052,2.0339282249357558,0.16424150466918946,0.0005536887301327192,240.0,300.0,2.870555843437235,0.0
