Algo,Mean Fitness,Std Fitness,Mean Time (s),Std Time,Mean Space (bytes),Mean Conv Speed (iters),Mean Solution Quality (norm),Success Rate (%)
FA,6.762352762475262e-07,1.2346127483934838e-07,15.029320001602173,0.042248907579069774,24000.0,218.6,0.0008187948787826821,100.0
ABC,5.23778428192555e-05,4.020380147261524e-05,0.5858573913574219,0.0015201859145337552,24000.0,253.8,0.006682279126376078,0.0
Cuckoo,1.5976023904336643,0.1951741554507247,0.17189450263977052,0.0013682390161673908,240.0,300.0,1.2616403954410882,0.0
PSO,2.062320227828005e-08,1.5628480272861493e-08,0.06951680183410644,0.0002836948112731355,240.0,1.0,0.00012910451724706132,100.0
HC,7.815070915913966,1.5611757099406895,0.03489985466003418,0.0011836595982284454,240.0,300.0,2.7819368214897016,0.0
GA,0.3114758638228886,0.074434658878824,0.07412757873535156,0.0007030468140978719,240.0,300.0,0.5544710931204797,0.0
SA,0.0,0.0,0.1657087802886963,0.001924172825675821,240.0,1.0,0.0,100.0
